entrada,llegada_pico,salida,tiempo_cola,tiempo_servicio,tiempo_total
07:49:19,08:04:23,08:07:23,904,180,1084
07:54:32,08:12:37,08:14:48,1085,131,1216
07:57:45,08:04:20,08:10:45,395,385,780
08:00:00,08:10:48,08:15:06,648,258,906
07:06:33,07:27:54,07:34:34,1315,400,1715
07:24:48,07:36:53,07:43:21,725,388,1113
07:25:06,07:43:21,07:45:42,1095,141,1236
07:24:17,07:41:38,07:43:01,1041,83,1124
07:34:50,07:46:48,07:48:26,718,98,816
07:36:21,07:48:26,07:52:25,725,239,964
07:39:45,07:52:25,07:54:01,760,96,856
07:40:24,07:54:01,08:01:21,817,440,1257
07:42:01,07:59:16,08:02:45,1035,209,1244
07:45:15,08:01:21,08:06:50,966,329,1295
07:45:51,08:04:55,08:12:35,1144,460,1604
07:46:20,08:06:50,08:08:42,1230,112,1342
07:47:04,08:07:23,08:09:59,1219,156,1375
07:47:48,08:09:59,08:14:14,1331,255,1586
07:48:14,08:10:48,08:13:30,1354,162,1516
07:48:51,08:12:35,08:17:15,1424,280,1704
07:50:52,08:14:14,08:18:23,1397,249,1646
07:52:03,08:15:06,08:20:15,1383,309,1692
07:52:43,08:17:15,08:21:40,1472,265,1737
07:55:00,08:18:23,08:23:18,1403,295,1698
07:57:11,08:20:15,08:26:01,1384,346,1730
07:57:56,08:21:40,08:27:07,1424,327,1751
07:58:39,08:23:18,08:28:43,1479,325,1804
08:00:39,08:26:01,08:30:16,1522,255,1777
08:01:29,08:27:07,08:31:07,1538,240,1778
08:01:52,08:28:43,08:32:00,1611,197,1808
08:03:00,08:30:16,08:33:48,1636,212,1848
08:03:49,08:31:07,08:35:40,1638,273,1911
08:04:15,08:32:00,08:36:20,1665,260,1925
08:04:47,08:33:48,08:37:37,1741,229,1970
08:05:09,08:35:40,08:39:15,1831,215,2046
08:06:17,08:36:20,08:40:19,1803,239,2042
08:07:07,08:37:37,08:41:00,1830,203,2033
08:07:44,08:39:15,08:43:08,1891,233,2124
08:08:27,08:40:19,08:44:09,1912,230,2142
08:09:47,08:41:00,08:44:59,1873,239,2112
08:11:00,08:43:08,08:47:05,1928,237,2165
08:11:45,08:44:09,08:49:15,1944,306,2250
08:12:43,08:44:59,08:50:38,1936,339,2275
08:13:00,08:47:05,08:52:43,2045,338,2383
08:13:58,08:49:15,08:54:32,2117,317,2434
08:15:30,08:50:38,08:55:54,2108,316,2424
08:16:15,08:52:43,08:58:08,2188,325,2513
08:17:30,08:54:32,09:00:29,2222,357,2579
08:18:29,08:55:54,09:01:05,2245,311,2556
08:20:00,08:58:08,09:03:00,2288,292,2580
08:21:45,09:00:29,09:05:00,2324,271,2595
08:23:07,09:01:05,09:05:43,2278,278,2556
08:24:00,09:03:00,09:08:00,2340,300,2640
08:25:35,09:05:00,09:09:12,2365,252,2617
08:26:49,09:05:43,09:10:00,2334,257,2591
08:27:00,09:08:00,09:12:00,2460,240,2700
08:29:15,09:09:12,09:13:30,2397,258,2655
08:30:00,09:10:00,09:14:00,2400,240,2640
08:31:45,09:12:00,09:16:00,2415,240,2655
08:33:00,09:13:30,09:18:00,2430,270,2700
08:34:00,09:14:00,09:19:00,2400,300,2700
08:35:15,09:16:00,09:21:00,2445,300,2745
